uniqueIdentifier,investorAlertCategoryMandatory,nameMandatory,addresses,websites,emails,phones,otherInformationGeneral,otherInformationAliases,otherInformationSocialAccount,dateAdded,dateUpdated,otherInformationAccounts,realCompany
12,Unlicensed (Legacy),Abbey House Acquisitions,['Tower 42  25 Old Broad Street United Kingdom EC2N 1HQ'],['www.abbeyhouseacquisitions.com'],,"['44 79 8006 6904 ', 'fax 44 87 0135 8214']",,,,,2019-08-23,[],[]
13,Unlicensed (Legacy),Abel Myers Consulting,['Ostenbachgasse 5 CH8001 Zurich Switzerland'],['www.abelmyers.com'],,['1 9999999999'],,,,,2019-08-23,[],[]
14,Unlicensed (Legacy),Aberdeen Asset Management,,,['settlements@aberdeenfundmanagement.com'],"['44 0203 393 3178 ', 'fax 44 0203 393 3177']",Note: this company is not connected and should not be confused with the legitimate firm UK and Australian firm(s): Aberdeen Asset Management PLC; and Aberdeen Asset Managers Limited of 10 Queens Terrace  Aberdeen Aberdeenshire  AB10 1YG  Ph: 44 01224 931 999  Fax: 44 01224 647 010 (www.aberdeen-asset.com)  and FSA registration no.: 121891; or Aberdeen Asset Management Limited  Level 10  255 George Street  Sydney NSW 2000  Ph: 61 2 9950 2853  Fax: 61 2 9950 2800 (www.aberdeenasset.com.au)  AFSL no.: 240263.,['Apollo Impex General Trading LLC'],,,2019-08-23,[],[]
15,Unlicensed (Legacy),Abridge Enterprises,['43/F AIA Tower 183 Electric Road North Point Hong Kong'],,['info@abridge-enterprises.com'],['+85271982374'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Changhongda Ltd', 'otherInformationAccountNumbers': '871506002142', 'otherInformationAccountBanks': 'ICBC Asia'}]",[]
16,Unlicensed (Legacy),AC Capital Venture,['7900 East Union Avenue Suite 1100 Denver Co 80237'],,,"['1 303 309 2493 ', 'fax 1 303 648 5635']",,,,,2019-08-23,[],[]
17,Unlicensed (Legacy),Accounting and Tax Planners of NY Inc,['303 Fifth Avenue New York  NY 10016-6601'],['www.acctnyc.com'],"['admin@acctnyc.com ', 'clientservices@acctnyc.com']","['1 347-427-9176 ', 'fax 1 347 4238 3124']",Note: this company is not connected and should not be confused with the legitimate firm Accounting &amp; Tax Planners  303 5th Ave.  Suite # 211  New York  NY 10016-6601  Ph: 1 212 292-3331 /3332  Fax: 212 292-3334,,,,2019-08-23,[],[]
18,Unlicensed (Legacy),Acomex,['Amsterdam Commodities Exchange Westerdoksdijk 42  1013 AE  Amsterdam'],['www.acomex.nl/about/'],,,,"['Extensa Financial Services', ""GMEX'  formerly known as 'Vincy Options SA""]",,,2019-10-24,[],[]
19,Unlicensed (Legacy),Adam International Trading Group Ltd,['Metroplaza 223 Hing Fong Road Kwai Chung New Territories Hong Kong'],['www.theadamgroup.com'],['info@theadamgroup.com'],['+852 5808 4605'],,"['The Adam Group', 'Adams Group International', 'Adams Group']",,,2019-08-23,"[{'otherInformationAccountNames': 'Cornerstone Alliance Capital LLC', 'otherInformationAccountNumbers': '3666055078', 'otherInformationAccountBanks': 'Northwest Bank'}]",[]
20,Unlicensed (Legacy),Adams Group,['Metroplaza 223 Hing Fong Road Kwai Chung New Territories Hong Kong'],['www.theadamgroup.com'],['info@theadamgroup.com'],['+852 5808 4605'],,"['The Adam Group', ' Adam International Trading Group Ltd', 'Adams Group International']",,,2019-08-23,"[{'otherInformationAccountNames': 'Cornerstone Alliance Capital LLC', 'otherInformationAccountNumbers': '3666055078', 'otherInformationAccountBanks': 'Northwest Bank'}]",[]
21,Unlicensed (Legacy),Adams Group International,['Metroplaza 223 Hing Fong Road Kwai Chung New Territories Hong Kong'],['www.theadamgroup.com'],['info@theadamgroup.com'],['+852 5808 4605'],,"['The Adam Group', 'Adam International Trading Group Ltd ', 'Adams Group']",,,2019-08-23,"[{'otherInformationAccountNames': 'Cornerstone Alliance Capital LLC', 'otherInformationAccountNumbers': '3666055078', 'otherInformationAccountBanks': 'Northwest Bank'}]",[]
22,Unlicensed (Legacy),Adderley Davis and Associates,['Suite Z-12  PO Box 849 Sharjah Airport Free Zone Sharjah  UA'],['www.adderleydavis.com'],['info@adderleydavis.com'],"['971 6557 0122 ', 'fax 971 6557 0312']",International customer service fax numbers: Hong Kong: (852) 3015 8577 Sydney: (61) 2 9475 1325 Zurich: (41) 44 274 2399 UK : (44) 845 280 1408,,,,2019-08-23,[],[]
23,Unlicensed (Legacy),Admiral Global Private Equity,"['23rd floor Eaton Centre 250 Yonge Street  Toronto  Ontario M5B 2L7 ', '1-23-17 Dogenzaka  ', 'Tokyo  Shibuya 150-0043 Japan']",['admiralglobal.com'],,,,,,,2019-08-23,"[{'otherInformationAccountNames': 'Mansfield International Ltd', 'otherInformationAccountNumbers': '744183779001', 'otherInformationAccountBanks': 'Citic Bank International Ltd'}, {'otherInformationAccountNames': 'BDK Ltd', 'otherInformationAccountNumbers': '744183797901', 'otherInformationAccountBanks': 'Citic Bank International Ltd'}, {'otherInformationAccountNames': 'Longdale Holdings Limited', 'otherInformationAccountNumbers': '00110633270012', 'otherInformationAccountBanks': 'Noor Bank'}, {'otherInformationAccountNames': 'Longdale Holdings Limited', 'otherInformationAccountNumbers': '01900018608', 'otherInformationAccountBanks': 'Mashreq Bank PJSC'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}, {'otherInformationAccountNames': 'TCC Global Ltd', 'otherInformationAccountNumbers': '848807970838 and 796056604883', 'otherInformationAccountBanks': 'HSBC HK'}]",[]
24,Unlicensed (Legacy),ADS Quality Financial Services,['2 Esplanade Exchange Tower Perth WA 6000'],,['info@qualityloanservices.org'],['0426 148 010'],,,,,2019-08-23,[],[]
25,Unlicensed (Legacy),Advanced Financial Union Ltd,['20E Foothill Blvd  215A  Arcadia CA 91006  USA'],['www.afufx.com'],['info@afufx.com'],,,,,,2019-08-23,"[{'otherInformationAccountNames': 'Advanced Financial Union Ltd', 'otherInformationAccountNumbers': '325089531822', 'otherInformationAccountBanks': ''}]",[]
26,Unlicensed (Legacy),Advantage Securities Inc,['20/F  IFC Two 8 Finance Street Central Hong Kong'],['www.advantagesecurities.com'],,,,,,,2019-08-23,[],[]
27,Unlicensed (Legacy),Advent-Oriental Asset Management,['2nd Floor  58 Taicang Road Xintiandi  Shanghai 200021 China'],['www.advent-oriental.com'],['owen@advent-oriental.com'],"['216103 6819 ', 'fax 216103 6868']",,,,,2019-08-23,[],[]
28,Unlicensed (Legacy),Advisor Dealer Services Inc (ADS Inc.),['6125 Memorial Drive Dublin OHIO 43017 USA'],['www.adviser-inc.com'],['info@adviser-inc.com'],"['614 495 0155 ', 'fax 614 4484538']",Note: this company is not connected and should not be confused with the legitimate firm Advisor Dealer Services Inc (ADS Inc) of 6125 Memorial Drive  Dublin Ohio  USA telephone 866-633-3371  which is a registered broker in the USA (CRD No. #36773 ),,,,2019-08-23,[],[]
29,Unlicensed (Legacy),Aedan Investment Mortgage Inc,['Plot 432 Railway Avenue Postal Service: 10006 - NY New York  NY'],,['customer.aedanmortgage@gmail.com'],['(172) 634 566 73'],CEO Aedan Collier,,,,2019-08-23,[],[]
30,Unlicensed (Legacy),AEG Investment Limited,['18 Harcourt Road Admiralty  Hong Kong  S.A.R. China'],['www.aeginvltd.com'],['admin@aeginvltd.com'],['(852) 5801 4350'],,,,,2019-08-23,[],[]
31,Unlicensed (Legacy),Aeon Loans Financial Services,['No. 14  Jalan Maroof  Putra Kelang  56300  Kuala Lumpur Malaysia'],,['aeonloan@live.com.my'],['60- 102- 856 683'],,,,,2019-08-23,[],[]
32,Unlicensed (Legacy),Aero Tech Turbines,['Level 38  TAIPEI 101 Tower 7 Xinyi Road  Section 5 110 Taipei Taiwan'],,"['admin@aerotechturbines.com', 'www.aerotechturbines.com']","['886 2 6602 1095', 'Fax: 886 2 6602 1416']",This company is not connected and should not be confused with the legitimate firm AeroTech Turbines Inc P.O. Box 177 Road Town Tortola British Virgin Islands Certificate of Incorporation No. 662499,,,,2019-08-23,[],[]
33,Unlicensed (Legacy),Ag Investor Fund,,,,,See RE Group International,,,,2019-08-23,[],[]
34,Unlicensed (Legacy),Agro Micron Ltd,"['Headquarter Office 35F Central Plaza 18 Harbor Road WANCHAI HONG KONG', 'Singapore Office 10 Anson Road #30-07 International Plaza SINGAPORE 079903']",['www.agromicron.com'],['info@agromicron.comand'],"['852 2593 1326', 'Fax: 852 3017 8000']",,,,,2019-08-23,[],[]
35,Unlicensed (Legacy),AJ Witherspoon and Co,['411 Hamilton Boulevarde Level 10 Suite 1020 Peoria Illinois Peoria 61602 USA'],['www.ajwitherspoonandco.com'],['info@ajwitherspoonandco.com'],"['1 309 282 8793', 'Fax: 1 309 210 1466']",,,,,2019-08-23,[],[]
36,Unlicensed (Legacy),All Media EOOD,"['C/o Suite 305  Griffith Corporate Centre  Beachmont  PO Box 1510 Kingstown Saint Vincent and Grenadines', ' All Media EOOD Sofia Bulgaria']",['http://brokerz.com/'],['support@brokerz.com'],['+ 44 20 8068 3493'],,['Brokerz Limited'],,,2019-08-23,[],[]
37,Unlicensed (Legacy),Alliance Financial Advisory,"['5 Rue Des Eaux-Vives  CH 1207 Geneva  Switzerland', '2 Des Voeux Road  Central  Hong Kong']",['www.afadvisoryinc.com/'],,,,,,,2019-08-23,[],[]
38,Unlicensed (Legacy),Alliance Financial Regulatory Board,['101 Federal Street Suite 1600 Boston Massachusetts 02110 USA'],['http://alliancefrboard.us'],,,,,,,2019-08-23,[],[]
39,Unlicensed (Legacy),Alliance FX Capital Ltd,['1 Scotts Road #24-10 Shaw Centre Singapore 228208'],['http://www.alliancefx.capital'],['info@alliancefx.capital'],['(+65) 6631 9760'],,,,2018-05-24,2021-12-14,"[{'otherInformationAccountNames': 'Pennington Fund Labuan LLP', 'otherInformationAccountNumbers': '503174914301', 'otherInformationAccountBanks': 'Overseas Chinese Banking Corporation'}, {'otherInformationAccountNames': 'Wells Goldman', 'otherInformationAccountNumbers': '30779702', 'otherInformationAccountBanks': 'Lloyds Bank'}]",[]
40,Unlicensed (Legacy),Alliance Group Tokyo  The,['Toyko Shinjuku Park Tower 3-7-1 Nishi Shinjuku  Shinjuku-ku Tokyo 163-1030'],['http://alliancegrouptokyo.com'],['sales@alliancegrouptokyo.com'],"['Japan: 053 371249 (local calls only)', 'US: +121 3223 8152', 'UK: +44 1133 507127', ' AU: +61 2 9037 3810']",,,,,2019-08-23,[],[]
41,Unlicensed (Legacy),Allied Asset Management,['2033 6th Avenue Seattle WA 98121 USA'],,['info@allassmanagement.com'],"['1 206-299-3560', 'Fax: 206-299-3487']",Note: this company is not connected and should not be confused with the legitimate firm Allied Asset Management Inc. 2033 6th Avenue Suite 1009 Seattle WA 98121-2523 USA Ph 206 441 1900 Fax 206 441 1901 CRD# 16403 SEC no 8-340521,,,,2019-08-23,[],[]
42,Unlicensed (Legacy),Allied Capital Management L.P,['Alpenstrasse 9. Zug 6300 Switzerland'],['http://www.alliedcapmgt.com/'],"['info@alliedcapmgt.com', 'accounts@alliedcapmgt.com', 'trading@alliedcapmgt.com']",['=DQ45+414 1508 7526'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Global Transfer Pte Ltd', 'otherInformationAccountNumbers': '17609894404', 'otherInformationAccountBanks': 'RHB Bank Berhad Singapore'}, {'otherInformationAccountNames': 'Global Transfer Pte Ltd', 'otherInformationAccountNumbers': '4223093463', 'otherInformationAccountBanks': 'United Overseas Bank Ltd Singapore'}]",[]
43,Unlicensed (Legacy),Allied International Investment Limited,"['8 Portland Place Pritchard Street Bristol BS2-8RH England', 'Other offices in NY  USA and Hong Kong']",,,"['UK Ph:(44) 870 429 4883', 'Fax: (44) 870 220 0041']",,,,,2019-08-23,[],[]
44,Unlicensed (Legacy),Allied Pacific Ventures,['Level 25 Bank of China Tower 1 Garden Road Central Hong Kong'],,,,,,,,2019-08-23,[],[]
45,Unlicensed (Legacy),Allied Sovereign Zurich,['Suite 701 Level 7 Via Augusta Barcelona 08006'],['www.alliedsovereignzurich.com'],,"['Spain Ph: (34) 932385924', 'Fax: (34) 932385925']",,,,,2019-08-23,[],[]
46,Unlicensed (Legacy),Alpha Financial Group,,,,,Note: this company is not connected and should not be confused with the legitimate Australian firm Alpha Financial Group Pty Ltd  Suite 4 208 Whitehorse Road Blackburn VIC 3130  Ph: 03 9259 0400  AFSR: 259 452. Ph: +41315087597 Ph: 442039051069 Email: support@alphafinancialgroup.com Website: https://www.alphafinancialgroup.com/,,,2019-08-02,2021-12-14,[],[]
47,Unlicensed (Legacy),Alpha Takeovers,['750 3rd Avenue  New York  NY 10017'],['www.alphatakeovers.com'],,"['USA Ph: + 1-646-559-7415', 'Fax: +1-646-365-8377']",,,,,2019-08-23,[],[]
48,Unlicensed (Legacy),Amber Capital Partners,['Ilham Tower No. 8 Jalan Binjai 50450 Kuala Lumpur Malaysia'],['www.ambercapitalpartners.com'],"['investorservices@ambercapitalpartners.com', 'accounts@ambercapitalpartners.com']","['+60 392 125 479', ' +32 280 877 73']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'Biathlon HK Limited', 'otherInformationAccountNumbers': '701530029672', 'otherInformationAccountBanks': 'Industrial and Commercial Bank of China (Asia) Ltd'}, {'otherInformationAccountNames': 'Crownwood SRO', 'otherInformationAccountNumbers': '115-2119240297', 'otherInformationAccountBanks': 'Komercni Banka a.s.'}, {'otherInformationAccountNames': 'Hunat Ltd', 'otherInformationAccountNumbers': '2001154676', 'otherInformationAccountBanks': 'Fio Banka a.s.'}]",[]
49,Unlicensed (Legacy),Ambramson Limited / Abramson International,['1 20-7 Nihonbashi Chuo-ko Tokyo 103 0027'],['www.ambramsoninternational.com'],,"['81 34520 9345 ', 'fax 81 36385 7621']",,,,,2019-08-23,[],[]
50,Unlicensed (Legacy),AMC International (HK) Limited,['Sun House  181 Des Voeux Road Central  Sheung Wan  Hong Kong'],['www.amcint-hk.com'],"['admin@amcing-hk.com/ ', 'info@amcint-hk.com']",['+852 5801 4350'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Charm Assets Limited', 'otherInformationAccountNumbers': '848-609319-838', 'otherInformationAccountBanks': 'HSBC HK'}]",[]
51,Unlicensed (Legacy),American Energy Exchange (AMENX),,,,,No further information available.,,,,2019-08-23,[],[]
52,Unlicensed (Legacy),American Futures and Options Exchange,['131 Pearl St New York NY 10005'],['www.afoex.com'],['support@afoex.com'],,,,,,2019-08-23,[],[]
53,Unlicensed (Legacy),American Futures and Options Trading Commission,['503 N Michigan Avenue #1950 Chicago Illinois 60601'],['www.afoex.com'],['support@afoex.com'],,,,,,2019-08-23,[],[]
54,Unlicensed (Legacy),American Heritage Stock Transfer Inc.,['80 Tiverton Court Suite 205 Markham  ON L3R 0G4'],['www.americanhst.com'],['info@americanhst.com'],"['416 907 3118 ', 'fax 905 248 3433']",,['Nanotech Industries Inc'],,,2019-08-23,[],[]
55,Unlicensed (Legacy),Amsel Commodities AG,['Fleishamarket Is Vienna 1010 Austria'],['www.amselcommodities.com'],,['431299 7178'],,,,,2019-08-23,[],[]
56,Unlicensed (Legacy),Annex International Mergers and Acquisitions,['Hong Leong Buidling 16 Raffles Quay Singapore 048581'],['www.annexinternational.com'],,"['656 215 0206 ', 'fax 656 2150 0207']",,,,,2019-08-23,[],[]
57,Unlicensed (Legacy),Anton Falk Capital Partners,['Bahnhofstrasse 5 Zurich 8022 Switzerland'],['http://antonfalk.com'],,,,,,,2019-08-23,[],[]
58,Unlicensed (Legacy),Apollo Asset Management,['299 Park Avenue  4th Floor  New York City  New York  10171'],['http://apolloam.us'],,,This entity is not connected or associated with Apollo Management Singapore Pte. Ltd. which is registered with ASIC as a foreign company in Australia,,,2016-12-16,2019-08-23,[],[]
59,Unlicensed (Legacy),Apollo Asset Management HK,['Kuo Wah Building 340-342 Hennessy Road Wanchai HONG KONG CHINA'],['www.apolloassetmanagementhk.com'],,['+612-91192949'],,,,,2019-08-23,[],[]
60,Unlicensed (Legacy),Apollo Impex General Trading LLC,,,,,See 'Aberdeen Asset Management' for more information,['Aberdeen Asset Management'],,,2019-08-23,[],[]
61,Unlicensed (Legacy),Aqua Securities L.P,['110 East 59th Street New York NY 10022'],['www.aqua-securities.com'],['info@aqua-securities.com.au'],"['1 212 796 0926', 'Fax: 1 646 224 2271']",,,,,2019-08-23,[],[]
62,Unlicensed (Legacy),Aragon Currency Management,['4491 South State Road Seven Suite-208 Fort Lauderdale Florida USA 33314'],,,"['USA & Canada: 1-800-803-0387', 'Australia: 1-800-836-861', 'New Zealand: 0800-455-0055', 'South Africa: 0-800-992-002']",,,,,2019-08-23,[],[]
63,Unlicensed (Legacy),ARAM Binary Options also known as ARAM Wealth Management Ltd,['Main Office Solar Dong building 65 Yeouidaebang-ro Yeongdeungpo-gu Seoul South Korea'],['www.arambinaryoptions.com'],['compliance@arambinaryoptions.com'],"['(+44) 330 808 0100', '(+64) 9950 8489', '(+61) 280 466 556', '(+1) 437 888 1190']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'Gulf Coast Inv Managment Cons FZE', 'otherInformationAccountNumbers': '3515761028', 'otherInformationAccountBanks': 'Al Hilal Bank Dubai'}]",[]
64,Unlicensed (Legacy),ARAM Wealth Management Ltd,['Main Office Solar Dong building 65 Yeouidaebang-ro  Yeongdeungpo-gu Seoul South Korea'],['www.arambinaryoptions.com'],['compliance@arambinaryoptions.com'],"['(+44) 330 808 0100', '(+64) 9950 8489', '(+61) 280 466 556', '(+1) 437 888 1190']",,['ARAM Binary Options'],,,2019-08-23,"[{'otherInformationAccountNames': 'Gulf Coast Inv Managment Cons FZE', 'otherInformationAccountNumbers': '3515761028', 'otherInformationAccountBanks': 'Al Hilal Bank Dubai'}]",[]
65,Unlicensed (Legacy),Arcadia Capital Associates,['62-63 F HOPEWELL CENTRE  183 Queens Road East  WAN CHAI  HONG KONG'],['http://www.arcadia-hk.'],['S.CHEUNG.ACA@gmail.com'],['852-5808-2915'],,,,,2019-08-23,[],[]
66,Unlicensed (Legacy),Argus Capital Limited,['Postbus 59366 1040 KJ Amsterdam The Netherlands'],,,"['31 20 301 2290', 'fax  31 20 301 2210']",,,,,2019-08-23,[],[]
67,Unlicensed (Legacy),Aries Ventures Inc,['1745 Broadway 17th Floor New York City New York 10019 USA'],['www.ariesventuresinc.com'],,"['1 212 302 1047', 'Fax: 1 212 658 9491']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'Aries Ventures Inc Account (AIHCA)', 'otherInformationAccountNumbers': '2102516505', 'otherInformationAccountBanks': ''}]",[]
68,Unlicensed (Legacy),Arista Capital Ventures,['4201 East Park Circle  Harrisburg PA 1711'],['www.aristacv.com'],"['info@aristacv.com', 'a.scheffer@aristacv.com ', 'aris.taylor@aristacv.com']","['+ 1 717 230 1310', '001 717 230 1310 ext. 2077', '001 717 230 1310 ext. 2058']","Contacts Adam Scheffer Acquisition Adviser, Aris Taylor CEO, David Ellis  Administrative Assistant",,,,2019-08-23,"[{'otherInformationAccountNames': 'Beneficiary Name: Overseas Holdings Compensation Commission (OHCC)', 'otherInformationAccountNumbers': '115543225', 'otherInformationAccountBanks': 'U.S. Central Bank Federal Reserve  Washington  DC'}]",[]
69,Unlicensed (Legacy),Arumas Ways O ?,['Roosikrantsi 2K 157 Tallinn City Harju County 10119 Estonia Tornimae 5 Tallinn 10145'],['https://teramusu.com/'],"['support@teramusu.com', 'compliance@teramusu.com']","['Estonia: +44-2080-685000', '+44-2080-685002', '+60-392-126640', 'Estonia: +372-8-804106']",,,,,2019-08-23,[],[]
70,Unlicensed (Legacy),Arya Group Ltd,['Landmark Building 14 Tsar Osvoboditel Blvd 6th Floor 1000 Sofia Bulgaria'],['www.ivoryoption.com'],['support@ivoryoption.com'],"['(+44) 203-608-6720', '(+61) 285-203-747', '(+64) 497-475-18', '(+65) 315-902-41', '(+27) 875-503-796', '(+13) 473-322-860']",,['Ivory Option'],,,2019-08-23,[],[]
71,Unlicensed (Legacy),Asean Commodities Inc,['The Globe 100 Cecil Street Singapore 069532'],['www.asean-commodities.com'],"['contact@asean-commodities.com', 'info@asean-commodities.com', 'accounts@asean-commodities.com']","['65 65059594', 'Fax : 65 64916562']",,['Asean Finance Corporation Limited Asean Commodities Inc. Limited and Asean Commodities Inc. (Fremont)'],,,2019-08-23,[],[]
72,Unlicensed (Legacy),Ashford Investments,"['Trust Company Complex Ajeltake Road Ajeltake Island Majuro Marshall Islands MH 96960', 'Girasole Suite 6 Office B  Triq In - Narcis Xewkija Gozo Malta', 'Sgrada 8 B  9009 Varna Severoiztochen Bulgaria']",['https://www.ashfordinvestments.com/'],"['support@ashfordinvestments.com', 'complaints@ashfordinvestments.com']",['+442038689102'],,['Teres Media Limited (formerly Teres Media BG Limited)'],,,2019-08-23,[],[]
73,Unlicensed (Legacy),Ashton Cole Global,['Cheung Kong Center 2 Queens Road Central Hong Kong'],['www.acglobalinc.com'],,,,,,,2019-08-23,"[{'otherInformationAccountNames': 'Hong Kong Weimeite International', 'otherInformationAccountNumbers': '652-526450-838', 'otherInformationAccountBanks': 'HSBC Hong Kong'}]",[]
74,Unlicensed (Legacy),Ashton Cole Global Investments,['Cheung Kong Center 2 Queens Road Central Hong Kong'],['http://acglobalinc.com/'],['enquiries@acglobalinc.com'],['+ 852 8192 4770'],,,,,2019-08-23,[],[]
75,Unlicensed (Legacy),Asia World Capital Group,['Room 2006-7 Tower Two Lippo Centre 89 Queensway Admiralty Hong Kong'],['http://www.asiaworldcap.com/'],['info@asiaworldcap.com'],['+852-580-84007'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'C&T Ventures', 'otherInformationAccountNumbers': '3753015580', 'otherInformationAccountBanks': 'United Overseas Bank'}]",[]
76,Unlicensed (Legacy),Asian Pacific Advisors Ltd,"[""24 Fl Pu Fa Tower 588 Pudong South Road Pudong Shanghai 2001200 People's Republic of China""]",['www.asiapacificadvisors.com'],,"['8621 3126 9109', ' Fax: 8621 5107 9311']",,,,,2019-08-23,[],[]
77,Unlicensed (Legacy),Asset Cap Management,['Baarerstrasse 6300 Zug Switzerland'],['www.assetcapmanagement.ch'],,['+41 43 550 7631'],,,,,2019-08-23,[],[]
